,flux,flux_err,mag,mag_err,jd,band,sub,site,phase,filter
110,1.511639289100213e-16,3.884459811266775e-18,18.730909579063105,0.027899054764726667,2459016.8753935,g,True,88,22.24539350019768,g
111,1.4085430573832534e-16,2.550276410377472e-18,18.807602946506552,0.019657748853405967,2459017.8753935,g,True,88,23.24539350019768,g
112,1.3258202490279462e-16,3.5664619856481676e-18,18.873315727178596,0.02920800093424299,2459018.8753935,g,True,88,24.24539350019768,g
113,1.2495832880552624e-16,4.796335388724278e-18,18.937615069614665,0.041675316895039255,2459019.8753935,g,True,88,25.24539350019768,g
114,1.1614151901449828e-16,4.816588444525692e-18,19.017061991149944,0.045027260874784286,2459020.8753935,g,True,88,26.24539350019768,g
115,1.0637965986300175e-16,4.300631919385551e-18,19.1123858222442,0.04389346475734146,2459021.8753935,g,True,88,27.24539350019768,g
116,9.731382010397515e-17,4.589102574357432e-18,19.20909511877877,0.05120279889178104,2459022.8753935,g,True,88,28.24539350019768,g
117,9.001619599175287e-17,5.258135636753998e-18,19.293727099971864,0.06342267365115724,2459023.8753935,g,True,88,29.24539350019768,g
118,8.523148534930088e-17,5.435662151799352e-18,19.353025639720315,0.06924324451850403,2459024.8753935,g,True,88,30.24539350019768,g
119,8.24132490269966e-17,5.1275849626979656e-18,19.389532351140623,0.0675521417898678,2459025.8753935,g,True,88,31.24539350019768,g
120,7.92856799026716e-17,4.9905671992920815e-18,19.431539689950093,0.0683412768017262,2459026.8753935,g,True,88,32.24539350019768,g
121,7.402879465151029e-17,5.5972902961485594e-18,19.506029482370337,0.08209528825266371,2459027.8753935,g,True,88,33.24539350019768,g
122,6.721875741400343e-17,6.7133408550484445e-18,19.61080875752822,0.10844199136054854,2459028.8753935,g,True,88,34.24539350019768,g
123,6.051748644374122e-17,8.306378324244634e-18,19.72483238090538,0.1490330904301403,2459029.8753935,g,True,88,35.24539350019768,g
124,5.514543682779536e-17,1.0851861032914213e-17,19.825756815874563,0.2136701489780326,2459030.8753935,g,True,88,36.24539350019768,g
125,5.1621528803239375e-17,1.4732463694634723e-17,19.897449461837457,0.309872397151897,2459031.8753935,g,True,88,37.24539350019768,g
126,4.985867001120054e-17,1.8906297782880852e-17,19.935172723032167,0.4117123388806139,2459032.8753935,g,True,88,38.24539350019768,g
127,4.939823986783671e-17,2.176626007271747e-17,19.94524531364347,0.4784060840191961,2459033.8753935,g,True,88,39.24539350019768,g
128,4.963161672128526e-17,2.2199992744220462e-17,19.940127999774568,0.48564510821972207,2459034.8753935,g,True,88,40.24539350019768,g
129,4.9947572129556283e-17,1.9781525371022818e-17,19.93323805765671,0.43000183121857394,2459035.8753935,g,True,88,41.24539350019768,g
130,4.9861051590746687e-17,1.4761214419529348e-17,19.935120473082446,0.3214271359504619,2459036.8753935,g,True,88,42.24539350019768,g
131,4.911376739990377e-17,8.07205175900495e-18,19.951516372252403,0.1784390445897089,2459037.8753935,g,True,88,43.24539350019768,g
132,4.76617300654841e-17,1.9758368201517853e-18,19.98410086483568,0.04500459093384491,2459038.8753935,g,True,88,44.24539350019768,g
133,4.5637678569297875e-17,4.7354660002297276e-18,20.031217491534104,0.11266669160601497,2459039.8753935,g,True,88,45.24539350019768,g
134,4.343965939897037e-17,7.060076708655184e-18,20.084810212006865,0.176463713786992,2459040.8753935,g,True,88,46.24539350019768,g
135,4.187437925147558e-17,7.598533904697819e-18,20.124653630478818,0.19701855293791729,2459041.8753935,g,True,88,47.24539350019768,g
