,mag,mag_err,jd,band,sub,site,phase,filter
190,22.08,0.08,2451342.0,V,True,66,412.0,V
191,21.16,0.08,2451342.0,R,True,66,412.0,R
192,22.12,0.07,2451346.0,V,True,66,416.0,V
193,21.3,0.07,2451346.0,R,True,66,416.0,R
194,22.54,0.08,2451346.0,B,True,66,416.0,B
195,22.82,0.09,2451399.0,V,True,66,469.0,V
196,22.18,0.09,2451399.0,R,True,66,469.0,R
197,23.04,0.1,2451432.0,V,True,66,502.0,V
198,23.51,0.09,2451432.0,B,True,66,502.0,B
199,22.57,0.08,2451432.0,R,True,66,502.0,R
200,23.4,0.38,2451467.0,V,True,66,537.0,V
201,23.03,0.21,2451467.0,R,True,66,537.0,R
